Figure,Min,Max,Mean
1A,4,12,10
1B,7,20,11
1C,5,12,10
1D,4,30,11
2A_PI,3,12,5
2A_Suberin,9,27,16
2A_TotNumberofCells,9,27,16
2C,6,72,10
2D,10,10,10
3B,8,24,10
3C,7,40,14
3D,7,30,13
4A,3,6,5
4B,3,6,5
4C,8,24,12
4E,5,10,8
S10A,3,6,5
S10C,3,6,5
S10D,3,6,5
S10E,3,6,5
S10H_DryWeight,4,30,12
S10H_PrimaryRoot,40,298,100
S10H_Suberin,8,24,10
S10I_14days,7,8,8
S10I_5days,11,12,12
S10J,3,5,4
S11A,4,30,12
S11C,3,6,5
S12B,19,49,32
S1B,4,8,6
S1C,73,189,148
S1D,1,12,8
S1E,4,12,10
S1F,1,8,4
S1G,4,12,10
S2B,7,19,11
S2C,9,19,11
S2D,7,20,11
S2E,3,3,3
S2G,6,6,6
S2H_Cortex,5,6,6
S2H_DryWeight,4,30,12
S2H_PrimaryRoot,40,298,100
S2I,4,30,9
S3A,5,12,10
S3B,4,30,12
S3E,188,207,198
S3F,1,13,10
S4A,3,27,10
S5A,8,34,16
S5B,3,12,5
S5C,5,14,6
S5D,5,7,6
S5E,5,7,6
S5G,9,27,16
S6A_PI,3,12,5
S6A_Suberin,9,27,16
S6A_TotNumberofCells,9,27,16
S6D_CFUAgar,6,6,6
S6D_CFURoot,6,6,6
S6D_CFUShoot,6,6,6
S6D_DryWeight,10,10,10
S6D_PrimaryRoot,44,91,79
S6D_Suberin,6,8,8
S6E,6,8,8
S7B,9,10,10
S7C,9,10,10
S7D_DryWeight,110,406,258
S7D_PrimaryRoot,858,3241,2050
S7E,6,8,7
S8B,8,24,10
S8C,8,12,10
S8D,3,3,3
S8E,7,40,14
S8G_DryWeight,4,30,12
S8G_Suberin,8,24,10
S9A,7,30,13
S9B,7,30,13
S9C,4,30,14
